nama,provinsi,kabupaten/kota,alamat,titik_koordinat,kategori,latitude,longitude
Bukit Chili Rafting,Bali,Karangasem,Bukit Chili Rafting Karangasem,"-8.423922,115.4376378",Bukit,-8.423922,115.4376378
Bukit Clara,Kepulauan Riau,Batam,Bukit Clara Batam,"1.12159,104.05411",Bukit,1.12159,104.05411
Bukit J,Jawa Timur,Jember,Bukit J Jember,"-8.0598351,113.7336713",Bukit,-8.0598351,113.7336713
Bukit Kapur Arosbaya,Jawa Timur,Bangkalan,Bukit Kapur Arosbaya Bangkalan,"-6.9474419,112.8593068",Bukit,-6.9474419,112.8593068
Bukit Lintang Sewu,Daerah Istimewa Yogyakarta,Bantul,Bukit Lintang Sewu Bantul,"-7.9138987,110.4355259",Bukit,-7.9138987,110.4355259
Bukit Mpolenda,Sulawesi Tengah,Poso,Bukit Mpolenda Poso,"-1.4949322,120.3218106",Bukit,-1.4949322,120.3218106
Bukit Rhema Chicken Church,Jawa Tengah,Magelang,Bukit Rhema Chicken Church Magelang,"-7.6056122,110.1805905",Bukit,-7.6056122,110.1805905
Bukit Sentosa Estate,Kepulauan Riau,Batam,Bukit Sentosa Estate Batam,"1.0495805,104.0435583",Bukit,1.0495805,104.0435583
Bukit Surya Indah,Kepulauan Riau,Batam,Bukit Surya Indah Batam,"1.1197522,104.0885055",Bukit,1.1197522,104.0885055
Bukit Tengah,Bali,Karangasem,Bukit Tengah Karangasem,"-8.5385661,115.4768394",Bukit,-8.5385661,115.4768394
Bukit Tengkorak,DKI Jakarta,Daerah Khusus ibukota Jakarta,Bukit Tengkorak Daerah Khusus ibukota Jakarta,"-5.9285721,106.5825347",Bukit,-5.9285721,106.5825347
Bukit Wisata Pulepayung,Daerah Istimewa Yogyakarta,Kulonprogo,Bukit Wisata Pulepayung Kulonprogo,"-7.7999084,110.1234788",Bukit,-7.7999084,110.1234788
Candi,Jawa Timur,Mojokerto,Candi Mojokerto,"-7.6176551,112.610255",Candi,-7.6176551,112.610255
Candi,Jambi,Muaro Jambi,Candi  Muaro Jambi,"-1.4489787,103.6868834",Candi,-1.4489787,103.6868834
Candi Abang,Daerah Istimewa Yogyakarta,Sleman,Candi Abang Sleman,"-7.8102254,110.4687098",Candi,-7.8102254,110.4687098
Candi Angin,Jawa Tengah,Jepara,Candi Angin Jepara,"-6.6053274,110.8639834",Candi,-6.6053274,110.8639834
Candi Bajang Ratu,Jawa Timur,Mojokerto,Candi Bajang Ratu Mojokerto,"-7.5677409,112.3987632",Candi,-7.5677409,112.3987632
Candi Banyunibo,Daerah Istimewa Yogyakarta,Sleman,Candi Banyunibo Sleman,"-7.7779947,110.4940445",Candi,-7.7779947,110.4940445
Candi Bayi,Jawa Timur,Mojokerto,Candi Bayi Mojokerto,"-7.6139718,112.6055954",Candi,-7.6139718,112.6055954
Candi Bentar,Bali,Karangasem,Candi Bentar Karangasem,"-8.3913779,115.6306841",Candi,-8.3913779,115.6306841
Candi Bima,Jawa Tengah,Banjarnegara,Candi Bima Banjarnegara,"-7.2142683,109.9104871",Candi,-7.2142683,109.9104871
Candi Blambongan,Jawa Barat,Karawang,Candi Blambongan Karawang,"-6.05572,107.1536283",Candi,-6.05572,107.1536283
Candi Bubrah,Jawa Tengah,Jepara,Candi Bubrah Jepara,"-6.6034772,110.8649112",Candi,-6.6034772,110.8649112
Candi Cangkuang,Jawa Barat,Cangkuang,Candi Cangkuang Cangkuang,"-7.102927,107.9188749",Candi,-7.102927,107.9188749
Candi Carik,Jawa Timur,Mojokerto,Candi Carik Mojokerto,"-7.6132392,112.6109145",Candi,-7.6132392,112.6109145
Candi Dadi,Jawa Timur,Tulungagung,Candi Dadi Tulungagung,"-8.1302386,111.9268294",Candi,-8.1302386,111.9268294
Candi Dharmawangsa,Jawa Timur,Mojokerto,Candi Dharmawangsa Mojokerto,"-7.604272,112.6221719",Candi,-7.604272,112.6221719
Candi Gajah Mungkur,Jawa Timur,Mojokerto,Candi Gajah Mungkur Mojokerto,"-7.604506,112.6215523",Candi,-7.604506,112.6215523
Candi Gambar Wetan,Jawa Timur,Blitar,Candi Gambar Wetan Blitar,"-7.9680444,112.2388364",Candi,-7.9680444,112.2388364
Candi Gampingan,Daerah Istimewa Yogyakarta,Bantul,Candi Gampingan Bantul,"-7.8383207,110.4369468",Candi,-7.8383207,110.4369468
Candi Gana,Jawa Tengah,Klaten,Candi Gana Klaten,"-7.7439517,110.4961166",Candi,-7.7439517,110.4961166
Candi Gebang,Daerah Istimewa Yogyakarta,Sleman,Candi Gebang Sleman,"-7.7514278,110.416224",Candi,-7.7514278,110.416224
Candi Gedog,Jawa Timur,Blitar,Candi Gedog Blitar,"-8.0877749,112.1841994",Candi,-8.0877749,112.1841994
Candi Gentong,Jawa Timur,Mojokerto,Candi Gentong Mojokerto,"-7.6111708,112.6122723",Candi,-7.6111708,112.6122723
Candi Griya,Jawa Timur,Mojokerto,Candi Griya Mojokerto,"-7.6032082,112.6206324",Candi,-7.6032082,112.6206324
Candi Gunung Wukir,Jawa Tengah,Magelang,Candi Gunung Wukir Magelang,"-7.6342417,110.2968186",Gunung,-7.6342417,110.2968186
Candi Gununggangsir,Jawa Timur,Bangil,Candi Gununggangsir Bangil,"-7.5866825,112.7333068",Gunung,-7.5866825,112.7333068
Candi Guru,Jawa Timur,Mojokerto,Candi Guru Mojokerto,"-7.6148901,112.6127009",Candi,-7.6148901,112.6127009
Candi Hati Kudus Yesus,Daerah Istimewa Yogyakarta,Bantul,Candi Hati Kudus Yesus Bantul,"-7.9261218,110.3198549",Candi,-7.9261218,110.3198549
Candi Jawi,Jawa Timur,Bangil,Candi Jawi Bangil,"-7.6624877,112.669879",Candi,-7.6624877,112.669879
Candi jolotundo,Jawa Timur,Mojokerto,Candi jolotundo Mojokerto,"-7.6100965,112.595732",Candi,-7.6100965,112.595732
Candi Kadisoka,Daerah Istimewa Yogyakarta,Sleman,Candi Kadisoka Sleman,"-7.7552364,110.4458063",Candi,-7.7552364,110.4458063
Candi Kama,Jawa Timur,Mojokerto,Candi Kama  Mojokerto,"-7.6042414,112.6206256",Candi,-7.6042414,112.6206256
Candi Karang Besuki,Jawa Timur,Kota Malang,Candi Karang Besuki Kota Malang,"-7.9523146,112.5997549",Candi,-7.9523146,112.5997549
Candi Kedulan,Daerah Istimewa Yogyakarta,Sleman,Candi Kedulan Sleman,"-7.7425947,110.4697271",Candi,-7.7425947,110.4697271
Candi Kedung Jumbleng,Jawa Tengah,Ungaran,Candi Kedung Jumbleng Ungaran,"-7.1398387,110.4139629",Candi,-7.1398387,110.4139629
Candi Kendalisodo,Jawa Timur,Mojokerto,Candi Kendalisodo Mojokerto,"-7.6067777,112.6076324",Candi,-7.6067777,112.6076324
Candi Kerajaan,Jawa Timur,Mojokerto,Candi Kerajaan Mojokerto,"-7.6039862,112.6236257",Candi,-7.6039862,112.6236257
Candi Ketawanggede,Jawa Timur,Kelurahan Ketawanggede,Candi Ketawanggede Kelurahan Ketawanggede,"-7.946843,112.6123534",Candi,-7.946843,112.6123534
Candi Kimpulan,Daerah Istimewa Yogyakarta,Sleman,Candi Kimpulan Sleman,"-7.6883659,110.4153318",Candi,-7.6883659,110.4153318
