nama,provinsi,kabupaten/kota,alamat,titik_koordinat,kategori,latitude,longitude
Museum Anatomi Fakultas Kedokteran Universitas Indonesia,Jawa Barat,Depok,Jalan Prof Dr Sudjono D Pusponegoro,"-6.3699977,106.830634",Museum,-6.3699977,106.830634
Museum Bahari,DKI Jakarta,Daerah Khusus ibukota Jakarta,Jl Ps Ikan No,"-6.1268288,106.8083185",Museum,-6.1268288,106.8083185
Museum Bank Indonesia Padang,Sumatera Barat,Padang,Jalan Batang ArauKec Padang Barat,"-0.964448,100.3582427",Museum,-0.964448,100.3582427
Museum Barli,Jawa Barat,Kota Bandung,Jalan Profesor Dokter Sutami,"-6.878398,107.5875461",Museum,-6.878398,107.5875461
Museum Basuki Abdoellah,DKI Jakarta,Daerah Khusus ibukota Jakarta,Jl Keuangan Raya,"-6.2897697,106.7932691",Museum,-6.2897697,106.7932691
Museum Batak,Sumatera Utara,Samosir,Museum Batak Samosir,"2.6507906,98.86019",Museum,2.6507906,98.86019
Museum Batu Mulia Nusantara,Jawa Timur,Kelurahan Ketawanggede,Veteran,"-7.9522607,112.613124",Museum,-7.9522607,112.613124
Museum Bikon Blewut,Nusa Tenggara Timur,Sikka,Museum Bikon Blewut Sikka,"-8.6665933,122.1843617",Museum,-8.6665933,122.1843617
Museum Biologi Sultan Agung,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Museum Biologi Sultan Agung Kota Yogyakarta,"-7.801859,110.3744042",Museum,-7.801859,110.3744042
Museum BNI,DKI Jakarta,Daerah Khusus ibukota Jakarta,Museum BNI Daerah Khusus ibukota Jakarta,"-6.1364372,106.8149453",Museum,-6.1364372,106.8149453
Museum BPK RI,Jawa Tengah,Kota Magelang,Museum BPK RI Kota Magelang,"-7.4740922,110.2140458",Museum,-7.4740922,110.2140458
museum Buya Hamka,Sumatera Barat,Agam,museum Buya Hamka Agam,"-0.3558169,100.2182597",Museum,-0.3558169,100.2182597
